curie,label,retrieved_at
CHEBI:25195,mercury atom,2026-09-04T16:38:22.538892
CHEBI:25218,methacrylate,2026-09-04T16:38:38.159419
CHEBI:27007,tin atom,2026-09-04T16:38:24.439685
CHEBI:27638,cobalt atom,2026-09-04T16:38:35.134847
CHEBI:28073,chromium atom,2026-09-04T16:38:33.383393
CHEBI:28112,nickel atom,2026-09-04T16:38:34.269950
CHEBI:28694,copper atom,2026-09-04T16:38:25.378034
CHEBI:29287,gold atom,2026-09-04T16:38:32.497004
CHEBI:30512,silver atom,2026-09-04T16:38:23.515769
CHEBI:30563,silicon dioxide,2026-09-04T16:38:39.153140
CHEBI:31341,calcium dihydroxide,2026-09-04T16:38:28.338534
CHEBI:33341,titanium atom,2026-09-04T16:38:41.087560
CHEBI:34288,2-hydroxyethyl methacrylate,2026-09-04T22:23:18.316887
CHEBI:36560,zinc oxide,2026-09-04T16:38:42.909759
CHEBI:4917,eugenol,2026-09-04T16:38:43.857335
CHEBI:61372,poly(acrylic acid) polymer,2026-09-04T16:38:30.700604
CHEBI:747200,zirconium dioxide,2026-09-04T16:38:44.982279
