curie,label,retrieved_at
OHD:0000000,dental restoration material,2026-09-04T16:38:30.318549
OHD:0000001,amalgam dental restoration material,2026-09-04T16:18:10.777646
OHD:0000034,gold foil dental restoration material,2026-09-04T16:18:10.831270
OHD:0000036,resin-based composite dental restoration material,2026-09-04T16:18:10.911070
OHD:0000041,amalgam filling restoration procedure,2026-09-04T16:38:26.055883
OHD:0000042,resin filling restoration procedure,2026-09-04T16:38:39.760925
OHD:0000048,metal dental restoration material,2026-09-04T16:18:10.855753
OHD:0000096,resin inlay restoration procedure,2026-09-04T16:38:39.764003
OHD:00001025,mineral trioxide aggregate cement dental restoration material,2026-09-04T16:18:10.867253
OHD:0000135,ceramic dental restoration material,2026-09-04T16:18:10.790805
OHD:0000136,titanium dental restoration material,2026-09-04T16:18:10.946912
OHD:0000137,stainless steel dental restoration material,2026-09-04T16:18:10.939179
OHD:0000140,titanium crown restoration procedure,2026-09-04T16:38:42.502739
OHD:0000142,noble metal crown restoration procedure,2026-09-04T16:38:32.975101
OHD:0000146,noble metal dental restoration material,2026-09-04T16:18:10.891469
OHD:0000147,high noble metal dental restoration material,2026-09-04T16:18:10.835241
OHD:0000155,ceramic crown restoration procedure,2026-09-04T16:38:45.447365
OHD:0000156,predominantly base metal dental restoration material,2026-09-04T16:18:10.902649
OHD:0000160,porcelain fused to noble metal crown restoration procedure,2026-09-04T16:38:32.978179
OHD:0000161,porcelain fused to predominantly base metal crown restoration procedure,2026-09-04T16:38:35.619277
OHD:0000162,predominantly base metal crown restoration procedure,2026-09-04T16:38:35.616079
OHD:0000167,noble metal inlay restoration procedure,2026-09-04T16:38:32.980926
OHD:0000241,apicoectomy procedure,2026-09-04T16:38:31.200248
OHD:0000248,dental implant procedure,2026-09-04T16:38:41.567160
OHD:0000286,pulp capping procedure,2026-09-04T16:38:30.226914
OHD:0000299,dental implant abutment attachement procedure,2026-09-04T16:38:42.498573
OHD:0000313,fixed partial denture restoration procedure,2026-09-04T16:38:46.371630
OHD:0001005,resin-based cement dental restoration material,2026-09-04T16:18:10.907267
OHD:0001006,glass ionomer cement dental restoration material,2026-09-04T16:18:10.823789
OHD:0001007,zinc oxide eugenol cement dental restoration material,2026-09-04T16:18:10.959369
OHD:0001008,calcium aluminate glass ionomer hybrid cement dental restoration material,2026-09-04T16:18:10.784049
OHD:0001010,zinc oxide non-eugenol cement dental restoration material,2026-09-04T16:18:10.963251
OHD:0001011,bulk-filled resin-based composite dental restoration material,2026-09-04T16:18:10.780751
OHD:0001012,flowable resin-based composite dental restoration material,2026-09-04T16:18:10.815172
OHD:0001014,macrofilled resin-based composite dental restoration material,2026-09-04T16:18:10.851596
OHD:0001015,microfilled resin-based composite dental restoration material,2026-09-04T16:18:10.863233
OHD:0001017,nano filled resin-based composite dental restoration material,2026-09-04T16:18:10.879772
OHD:0001018,nano hybrid resin-based composite dental restoration material,2026-09-04T16:18:10.883473
OHD:0001019,compomer resin-based composite dental restoration material,2026-09-04T16:18:10.808582
OHD:0001020,metal modified glass ionomer dental restoration material,2026-09-04T16:18:10.859677
OHD:0001021,acid-base cement dental restoration material,2026-09-04T16:18:10.770523
OHD:0001022,zinc oxide cement dental restoration material,2026-09-04T16:18:10.955286
OHD:0001026,resin-modified glass ionomer dental restoration material,2026-09-04T16:18:10.914957
OHD:0001032,glass matrix ceramic dental restoration material,2026-09-04T16:18:10.827787
OHD:0001033,polycrystalline ceramic dental restoration material,2026-09-04T16:18:10.895147
OHD:0001034,zirconia polycrystalline ceramic dental restoration material,2026-09-04T16:18:10.975648
OHD:0001035,3Y-TZP zirconia ceramic dental restoration material,2026-09-04T16:18:10.754265
OHD:0001036,4Y-PSZ zirconia ceramic dental restoration material,2026-09-04T16:18:10.762366
OHD:0001037,5Y-PSZ zirconia ceramic dental restoration material,2026-09-04T16:18:10.766426
OHD:0001038,multichromatic zirconia ceramic dental restoration material,2026-09-04T16:18:10.871304
OHD:0001039,multilayered zirconia ceramic dental restoration material,2026-09-04T16:18:10.875863
OHD:0001040,polycrystalline composite ceramic dental restoration material,2026-09-04T16:18:10.898896
OHD:0001041,zirconia toughened alumina ceramic dental restoration material,2026-09-04T16:18:10.980238
OHD:0001042,zinc phosphate cement dental restoration material,2026-09-04T16:18:10.967005
OHD:0001043,zinc polycarboxylate cement dental restoration material,2026-09-04T16:18:10.971623
OHD:0001045,calcium hydroxide cement dental restoration material,2026-09-04T16:18:10.787170
OHD:0001046,alumina toughened zirconia ceramic dental restoration material,2026-09-04T16:18:10.774413
